time,latitude,longitude,max_wind_kt
2025-08-11 00:00:00,16.5,-23.1,30
2025-08-11 03:00:00,16.9,-24.1,33
2025-08-11 06:00:00,17.2,-25.2,35
2025-08-11 09:00:00,17.3,-26.3,38
2025-08-11 12:00:00,17.3,-27.3,40
2025-08-11 15:00:00,17.3,-28.3,40
2025-08-11 18:00:00,17.4,-29.3,40
2025-08-11 21:00:00,17.5,-30.3,40
2025-08-12 00:00:00,17.5,-31.3,40
2025-08-12 03:00:00,17.5,-32.3,40
2025-08-12 06:00:00,17.5,-33.3,40
2025-08-12 09:00:00,17.4,-34.4,40
2025-08-12 12:00:00,17.3,-35.4,40
2025-08-12 15:00:00,17.2,-36.4,40
2025-08-12 18:00:00,17.1,-37.4,40
2025-08-12 21:00:00,16.9,-38.4,40
2025-08-13 00:00:00,16.8,-39.3,40
2025-08-13 03:00:00,16.7,-40.2,40
2025-08-13 06:00:00,16.6,-41.0,40
2025-08-13 09:00:00,16.5,-41.9,43
2025-08-13 12:00:00,16.4,-42.7,45
2025-08-13 15:00:00,16.3,-43.5,45
2025-08-13 18:00:00,16.3,-44.3,45
2025-08-13 21:00:00,16.3,-45.1,45
2025-08-14 00:00:00,16.3,-45.9,45
2025-08-14 03:00:00,16.3,-46.7,45
2025-08-14 06:00:00,16.3,-47.5,45
2025-08-14 09:00:00,16.3,-48.2,48
2025-08-14 12:00:00,16.3,-48.9,50
2025-08-14 15:00:00,16.4,-49.6,53
2025-08-14 18:00:00,16.6,-50.4,55
2025-08-14 21:00:00,16.7,-51.1,58
2025-08-15 00:00:00,16.9,-51.9,60
2025-08-15 03:00:00,17.1,-52.7,60
2025-08-15 06:00:00,17.4,-53.5,60
2025-08-15 09:00:00,17.7,-54.4,63
2025-08-15 12:00:00,18.0,-55.2,65
2025-08-15 15:00:00,18.3,-56.0,65
2025-08-15 18:00:00,18.7,-56.8,65
2025-08-15 21:00:00,19.1,-57.6,70
2025-08-16 00:00:00,19.4,-58.5,75
2025-08-16 03:00:00,19.6,-59.5,85
2025-08-16 06:00:00,19.6,-60.4,95
2025-08-16 09:00:00,19.6,-61.3,113
2025-08-16 12:00:00,19.6,-62.1,130
2025-08-16 15:00:00,19.7,-62.8,135
2025-08-16 18:00:00,19.8,-63.4,140
